"STN
Code",Name Of Monitoring Location,Use Based Class,Temperature,Dissolved O2 (mg/L),pH,Conductivity (&micro; mho/cm),"BOD
(mg/L)",NitrateN (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Fecal Streptococci (MPN/100ml),"Carbonate (CO3-)
(mg/L)","Bicarbonate (HCO3-)
(mg/L)",Turbidity (mg/L),Phenolphthalein Alkalinity (mg/L),Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Total Kjeldahl Nitrogen (mg/L),Ammonical-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Mg as CaCo3 (mg/L),Sulphate (mg/L),Sodium (mg/L),Total Dissolved Solids (mg/L),Total Suspended Solids (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Year
3625,Hebbal Lake,"E (Irrigation, industrial cooling and controlled waste)",26.0,0.3(BDL),6.7,1095,26.0,3.9,3100.0,9400.0,,3(BDL),236,18.7,5(BDL),236,128,176,6.3,4.8,244,128,116,11,108,742,24,1.1,0.5(BDL),22,0.3,46,3.0,1.7,2024
3626,Nagavara Lake,"E (Irrigation, industrial cooling and controlled waste)",32.0,1.2,7.1,1403,42.0,4.8,2000.0,17000.0,,3(BDL),328,28.8,5(BDL),328,224,216,9.12,6.7,288,152,136,19,167,922,40,2.3,0.5(BDL),37,0.2(BDL),52,4.0,6.5,2024
3627,Jakkur Lake,"E (Irrigation, industrial cooling and controlled waste)",32.0,0.3(BDL),6.8,1093,25.0,3.8,4300.0,22000.0,,3(BDL),316,18.3,5(BDL),316,156,171,5.6,4.3,248,128,120,12,104,742,24,0.6,0.5(BDL),22,0.31,45,2.9,1.8,2024
3628,Amruthahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",25.0,0.7,7.3,1019,21.0,3.5,3100.0,17000.0,,3(BDL),252,39.2,5(BDL),252,152,148,5.6,4.2,244,128,116,17,95,680,52,1.06,0.5(BDL),29,0.32,42,3.0,2.9,2024
3629,Allalasandra Lake,"E (Irrigation, industrial cooling and controlled waste)",29.0,0.3(BDL),6.8,1477,26.0,5.2,2400.0,17000.0,,3(BDL),332,20.5,5(BDL),332,204,176,6.8,5.2,316,164,152,34,156,1006,26,1.8,0.5(BDL),24,0.42,49,3.8,3.7,2024
3630,Yelahanka Tank,"E (Irrigation, industrial cooling and controlled waste)",32.0,0.3(BDL),6.6,1099,26.0,3.8,1400.0,14000.0,,3(BDL),248,17.7,5(BDL),248,136,174,6.2,4.8,244,128,116,14,108,748,22,1.3,0.5(BDL),22,0.32,46,3.0,3.8,2024
3633,Subramanyapura Tank,"D (Propagation of wild life,fisheries)",36.0,4.8,7.4,1061,8.0,3.8,260.0,2200.0,,3(BDL),200,14.5,5(BDL),200,176,76,1.5(BDL),0.7,156,84,72,19,115,724,18,0.52,0.5(BDL),24,0.63,57,4.0,1.4,2024
3634,Devarakere Tank,"E (Irrigation, industrial cooling and controlled waste)",37.0,0.3(BDL),7.0,498,78.0,1.3,200.0,2800.0,,3(BDL),124,279,5(BDL),124,56,253,11.8,9.4,88,48,40,15,43,340,364,0.2(BDL),0.5(BDL),14,0.36,47,2.0,0.05(BDL),2024
3635,Malathahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",29.7,3.4,6.8,615,14.0,2.1,170.0,2400.0,,3(BDL),172,72,5(BDL),172,48,144,2.2,1.7,164,88,76,9,61,416,94,0.2(BDL),0.5(BDL),8,0.24,43,2.1,0.05(BDL),2024
3636,Hoskere Lake,"D (Propagation of wild life,fisheries)",32.7,4.6,7.0,298,11.0,1.0,20.0,1600.0,,3(BDL),84,9,5(BDL),84,20,109,1.5(BDL),0.99,76,44,32,5(BDL),30,206,12,0.46,0.5(BDL),4,0.2(BDL),44,1.5,1.3,2024
3638,Yelachenahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",35.0,1.4,7.6,410,28.0,1.4,2300.0,7000.0,,3(BDL),92,103,5(BDL),92,48,204,1.9,1.2,100,56,44,17,56,276,130,0.46,0.5(BDL),19,0.28,49,2.0,1.2,2024
3639,Kengeri Tank,"E (Irrigation, industrial cooling and controlled waste)",34.4,2.3,7.7,964,20.0,3.3,260.0,3500.0,,3(BDL),272,63.6,5(BDL),272,124,167,8.7,6.7,260,136,124,15,94,654,84,2.3,0.5(BDL),12,0.38,43,2.5,6.5,2024
3640,Uttarahalli Doraikere,"E (Irrigation, industrial cooling and controlled waste)",36.7,2.2,7.2,1655,81.0,5.8,3100.0,17000.0,,3(BDL),128,109,5(BDL),128,212,340,6.7,5,356,184,172,220,185,1090,136,0.41,0.5(BDL),37,0.2(BDL),50,4.0,1,2024
3641,Dhorekere Tank,"E (Irrigation, industrial cooling and controlled waste)",37.0,0.3(BDL),6.6,697,132.0,2.3,920.0,4600.0,,3(BDL),212,549,5(BDL),212,76,442,30,23.3,196,104,92,30,73,476,714,1.52,0.5(BDL),23,0.41,41,2.3,4.6,2024
3642,Jigani Tank,"D (Propagation of wild life,fisheries)",26.0,5.8,7.1,1479,4.0,5.68,320.0,3500.0,,3(BDL),344,6.7,5(BDL),344,248,41,1.5(BDL),0.4,400,204,196,60,127,982,10(BDL),0.26,0.5(BDL),29,0.36,38,2.76,0.76,2024
3643,Benniganahalli Lake,"D (Propagation of wild life,fisheries)",26.0,4.8,7.1,634,5.0,2.4,260.0,2800.0,,3(BDL),144,5.1,5(BDL),144,104,49,1.5(BDL),0.62,168,88,80,26,57,418,10(BDL),0.2(BDL),0.5(BDL),13,0.29,40,2.0,0.39,2024
4094,Gangondanahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",29.0,0.3(BDL),7.3,2203,60.0,9.0,27000.0,79000.0,,3(BDL),336,67,5(BDL),336,412,348,47,36,472,240,232,11,166,1476,86,0.61,0.5(BDL),17,0.28,42,3.0,1.57,2024
4096,Andhrahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",26.0,0.3(BDL),6.7,1271,58.0,5.1,210.0,5400.0,,3(BDL),268,13.6,5(BDL),268,116,288,31,24,304,156,148,77,117,852,18,0.45,0.5(BDL),11,0.2(BDL),44,3.0,1.1,2024
4097,Kachohalli Lake,"E (Irrigation, industrial cooling and controlled waste)",28.0,0.3(BDL),7.0,1806,24.0,6.4,680000.0,3300000.0,,3(BDL),436,50.6,5(BDL),436,256,157,10.4,8,448,228,220,14,186,1228,66,2.8,0.5(BDL),31,0.2(BDL),45,3.8,5,2024
4107,"River Dakshina Pinakini Near Mugalur Bridge Mugalur, Bengaluru","E (Irrigation, industrial cooling and controlled waste)",28.0,0.3(BDL),6.9,1439,58.0,5.01,45000.0,230000.0,,3(BDL),340,15.2,5(BDL),340,160,260,32,24,292,152,140,22,140,948,22,0.6,0.5(BDL),29,0.23,48,4.0,1.6,2024
4504,Sarakki Lake,"D (Propagation of wild life,fisheries)",35.0,5.2,8.6,1066,7.0,3.7,140.0,1300.0,,56,152,13.9,28,208,136,68,1.5(BDL),0.4,196,104,92,32,139,702,20,0.31,0.5(BDL),37,0.24,55,4.0,0.87,2024
4505,Nelamangala Lake,"E (Irrigation, industrial cooling and controlled waste)",34.0,3,6.9,2540,29.0,10.24,140.0,2400.0,,3(BDL),556,6.8,5(BDL),556,400,164,4.55,3.5,632,320,312,43,232,1702,10(BDL),0.91,0.5(BDL),20,0.38,44,4.0,2.36,2024
4506,Abbigere Lake,"E (Irrigation, industrial cooling and controlled waste)",28.5,2.1,6.5,1191,27.0,4.6,430.0,2800.0,,3(BDL),276,18.3,5(BDL),276,200,176,14.1,12,324,168,156,48,110,782,20,0.2(BDL),0.5(BDL),24,0.2(BDL),40,2.6,0.51,2024
4507,Chelekere Lake,"E (Irrigation, industrial cooling and controlled waste)",33.0,1,8.2,490,30.0,2.0,1700.0,7900.0,,3(BDL),84,33.9,,84,44,168,3.25,2.5,112,60,52,9,34,328,44,0.2(BDL),0.5(BDL),2,0.2(BDL),39,1.4,0.05(BDL),2024
4508,Singapura Lake,"E (Irrigation, industrial cooling and controlled waste)",32.0,1,7.4,1024,39.0,3.5,1700.0,13000.0,,3(BDL),268,39.2,5(BDL),268,148,216,6.7,4.4,216,116,100,15,97,688,52,0.97,0.5(BDL),29,0.28,46,3.0,2.5,2024
4509,Narasipura Lake,"E (Irrigation, industrial cooling and controlled waste)",30.0,0.9,7.3,1022,28.0,3.5,2100.0,9400.0,,3(BDL),252,31.2,5(BDL),252,136,170,6.1,4.3,204,108,96,16,98,682,42,0.74,0.5(BDL),30,0.29,47,3.0,1.9,2024
4510,Rachenahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",32.0,0.4,7.4,1392,29.0,4.8,2400.0,14000.0,,3(BDL),324,15.9,5(BDL),324,228,180,9,6.8,288,152,136,22,169,920,22,1.6,0.5(BDL),37,0.23,52,4.0,4.4,2024
