"Sl.
No.","STN
Code",Name Of Monitoring Location,Use Based Class,Dissolved O2 (mg/L),pH,"Conductivity (&micro;mho
/cm)","BOD
(mg/L)",NitrateN (mg/L),NitriteN (mg/L),"Fecal Coliform (MPN/10
0ml)","Total Coliform (MPN/100
ml)",Fecal Streptococci (MPN/100ml),"Carbonate (CO3-)
(mg/L)","Bicarbonate (HCO3-)
(mg/L)",Turbidity (mg/L),Phenolphthalein Alkalinity (mg/L),Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Total Kjeldahl Nitrogen (mg/L),Ammonical-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Ca as Ca (mg/L),Mg as CaCo3 (mg/L),Mg as Ca (mg/L),Sulphate (mg/L),Sodium (mg/L),Total Dissolved Solids (mg/L),Total Suspended Solids (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Year
30,3619.0,Begur Tank,"D (Propagation of wild
life,fisheries)",4.2,7.3,1572.0,8.0,6.3,0.02(BDL),20000.0,94000.0,,3(BDL),156.0,28.8,5(BDL),156.0,352.0,76.0,1.5(BDL),0.4,228.0,120.0,48.0,108.0,26.2,74,142.0,1052.0,36,0.31,0.5(BDL),14.0,0.2(BDL),51.0,4.0,0.81,2024
31,3620.0,Parappana Agrahara Lake,"D (Propagation of wild
life,fisheries)",5.6,7.5,624.0,6.0,2.5,0.02(BDL),2600.0,11000.0,,3(BDL),148.0,16.2,5(BDL),148.0,96.0,60.0,1.5(BDL),0.46,144.0,76.0,30.4,68.0,16.5,16,51.0,418.0,20,0.63,0.5(BDL),4.0,0.26,42.0,2.0,1.66,2024
32,3621.0,Haralur Lake,"E (Irrigation, industrial cooling and controlled waste)",0.3(BDL),9.8,706.0,128.0,2.5,0.02(BDL),2100.0,4800.0,,56,72.0,58.0,28,128.0,156.0,424.0,21,16.0,156.0,84.0,33.6,72.0,17.5,26,73.0,480.0,92,0.2(BDL),0.5(BDL),20.0,0.2(BDL),46.0,2.6,0.4,2024
33,3622.0,Somasundrapalya Lake,"D (Propagation of wild
life,fisheries)",5.1,7.4,662.0,5.0,2.7,0.6,1400.0,7900.0,,3(BDL),140.0,18.2,5(BDL),140.0,116.0,48.0,1.5(BDL),0.4,104.0,56.0,22.4,48.0,11.7,17,55.0,442.0,24,0.2(BDL),0.5(BDL),5.0,0.21,52.0,2.0,0.05(BDL),2024
34,3623.0,Anekal Doddakere Tank,"D (Propagation of wild
life,fisheries)",7.2,7.2,1351.0,4.0,4.7,0.02(BDL),130.0,5400.0,,3(BDL),260.0,10.2,5(BDL),260.0,324.0,40.0,1.5(BDL),0.4,252.0,132.0,52.8,120.0,29.2,6,173.0,904.0,14,0.2(BDL),0.5(BDL),41.0,0.48,60.0,5.0,0.05(BDL),2024
35,3624.0,Puttenahalli Lake,"D (Propagation of wild
life,fisheries)",7.3,7.6,990.0,9.0,2.4,0.6,2600.0,9400.0,,3(BDL),208.0,12.0,5(BDL),208.0,104.0,81.0,1.5(BDL),0.75,168.0,88.0,35.2,80.0,19.4,30,78.0,674.0,16,0.3,0.5(BDL),21.0,0.2(BDL),47.0,2.6,0.7,2024
36,3625.0,Hebbal Lake,"D (Propagation of wild
life,fisheries)",7.2,7.5,690.0,8.0,2.5,0.1,4300.0,14000.0,,3(BDL),212.0,14.0,5(BDL),212.0,108.0,70.0,1.5(BDL),0.7,172.0,92.0,36.8,80.0,19.4,29,78.0,470.0,18,0.3,0.5(BDL),23.0,0.2(BDL),46.0,2.6,0.6,2024
37,3626.0,Nagavara Lake,"D (Propagation of wild
life,fisheries)",7.2,7.6,687.0,9.0,2.4,0.2,150.0,2400.0,,3(BDL),188.0,12.0,5(BDL),188.0,108.0,85.0,1.5(BDL),0.96,196.0,104.0,41.6,92.0,22.4,24,72.0,468.0,16,4,0.5(BDL),20.0,0.2(BDL),41.0,2.2,7,2024
38,3627.0,Jakkur Lake,"D (Propagation of wild
life,fisheries)",7.1,7.1,1014.0,16.0,3.5,0.02(BDL),170.0,3500.0,,3(BDL),268.0,38.0,5(BDL),268.0,168.0,108.0,1.7,1.2,268.0,140.0,56.0,128.0,31.1,16,111.0,690.0,46,6,0.5(BDL),24.0,0.2(BDL),45.0,2.9,10,2024
39,3628.0,Amruthahalli Lake,"D (Propagation of wild
life,fisheries)",6.6,7.6,688.0,4.0,2.4,0.04,1700.0,13000.0,,3(BDL),176.0,20.6,5(BDL),176.0,104.0,48.0,1.5(BDL),0.4,208.0,112.0,44.8,96.0,23.3,28,92.0,466.0,28,0.29,0.5(BDL),20.0,0.36,46.0,3.0,0.78,2024
40,3629.0,Allalasandra Lake,"D (Propagation of wild
life,fisheries)",6.6,7.2,1012.0,16.0,3.6,0.02(BDL),170.0,3500.0,,3(BDL),256.0,37.0,5(BDL),256.0,188.0,107.0,1.6,1.2,180.0,96.0,38.4,84.0,20.4,21,110.0,688.0,48,6,0.5(BDL),25.0,0.2(BDL),53.0,3.7,12,2024
41,3630.0,Yelahanka Tank,"D (Propagation of wild
life,fisheries)",7,7.1,1017.0,16.0,3.6,0.02(BDL),240.0,5400.0,,3(BDL),232.0,39.0,5(BDL),232.0,180.0,106.0,1.6,1.3,236.0,124.0,49.6,112.0,27.2,21,112.0,690.0,48,3,0.5(BDL),25.0,0.2(BDL),47.0,3.32,5,2024
42,3633.0,Subramanyapura Tank,"E (Irrigation, industrial cooling and controlled waste)",2.6,6.6,384.0,19.0,1.47,0.02(BDL),2100.0,11000.0,,3(BDL),84.0,37.2,5(BDL),84.0,60.0,176.0,2.9,2.4,100.0,56.0,22.4,44.0,10.7,15,35.0,256.0,44,1.5,0.5(BDL),7.0,0.47,41.0,2.0,4.4,2024
43,3634.0,Devarakere Tank,"E (Irrigation, industrial cooling and controlled waste)",2.9,6.5,328.0,16.0,1.26,0.02(BDL),2100.0,9400.0,,3(BDL),72.0,33.4,5(BDL),72.0,52.0,172.0,3.1,2.5,84.0,48.0,19.2,36.0,8.7,13,28.0,220.0,40,0.39,0.5(BDL),7.0,0.51,39.0,1.3,1.13,2024
44,3635.0,Malathahalli Lake,"D (Propagation of wild
life,fisheries)",5.8,7.2,676.0,8.0,2.72,0.02(BDL),120.0,2400.0,,3(BDL),104.0,56.0,5(BDL),104.0,48.0,72.0,1.5(BDL),0.4,248.0,128.0,51.2,120.0,29.2,58,56.0,452.0,72,0.2(BDL),0.5(BDL),3.0,0.47,33.0,2.0,0.4,2024
45,3636.0,Hoskere Lake,"D (Propagation of wild
life,fisheries)",4.4,6.5,398.0,4.0,1.53,0.02(BDL),2200.0,13000.0,,3(BDL),88.0,6.4,5(BDL),88.0,64.0,44.0,1.5(BDL),0.72,104.0,56.0,22.4,48.0,11.7,16,37.0,266.0,10(BDL),0.2(BDL),0.5(BDL),8.0,0.72,41.0,2.0,0.05(BDL),2024
46,3638.0,Yelachenahalli Lake,"D (Propagation of wild
life,fisheries)",4.6,8.2,403.0,9.0,1.4,0.74,170.0,3500.0,,3(BDL),104.0,22.6,5(BDL),104.0,68.0,93.0,1.5(BDL),0.71,76.0,44.0,17.6,32.0,7.8,19,48.0,276.0,30,1,0.5(BDL),12.0,0.2(BDL),53.0,2.4,1.5,2024
47,3639.0,Kengeri Tank,"D (Propagation of wild
life,fisheries)",6,7.5,849.0,5.0,3.42,0.18,200.0,9200.0,,3(BDL),268.0,21.2,5(BDL),268.0,116.0,48.0,1.5(BDL),0.4,220.0,116.0,46.4,104.0,25.3,46,73.0,568.0,28,0.85,0.5(BDL),5.0,0.46,35.0,2.0,2.16,2024
48,3640.0,Uttarahalli Doraikere,"E (Irrigation, industrial cooling and controlled
waste)",2.8,7.1,1208.0,18.0,5.5,0.02(BDL),210.0,3500.0,,3(BDL),280.0,24.4,5(BDL),280.0,204.0,170.0,3.2,2.6,328.0,168.0,67.2,160.0,38.9,49,117.0,820.0,30,0.49,0.5(BDL),24.0,1.6,41.0,2.8,1.37,2024
49,3641.0,Dhorekere Tank,"E (Irrigation, industrial cooling and controlled waste)",2.6,6.8,514.0,14.0,1.97,0.02(BDL),250.0,5400.0,,3(BDL),116.0,60.8,5(BDL),116.0,84.0,160.0,2.2,1.9,136.0,72.0,28.8,64.0,15.6,21,48.0,348.0,68,0.57,0.5(BDL),10.0,1.4,41.0,2.0,1.66,2024
50,3642.0,Jigani Tank,"D (Propagation of wild
life,fisheries)",7.5,7.0,1061.0,4.0,3.7,0.02(BDL),310.0,9200.0,,3(BDL),224.0,7.6,5(BDL),224.0,220.0,36.0,1.5(BDL),0.4,248.0,132.0,52.8,116.0,28.2,7,149.0,714.0,10(BDL),0.2(BDL),0.5(BDL),35.0,0.39,52.0,4.0,0.05(BDL),2024
51,3643.0,Benniganahalli Lake,"D (Propagation of wild
life,fisheries)",5.8,8.6,542.0,7.0,1.9,0.1,25.0,1600.0,,16,52.0,6.2,8,68.0,96.0,62.0,1.5(BDL),0.78,156.0,84.0,33.6,72.0,17.5,50,58.0,370.0,10(BDL),0.2(BDL),0.5(BDL),22.0,0.2(BDL),37.0,2.0,0.2,2024
52,3655.0,Mathikere Tank,"D (Propagation of wild
life,fisheries)",6,6.9,420.0,7.0,1.28,0.02(BDL),6.8,110.0,,3(BDL),112.0,33.2,5(BDL),112.0,16.0,68.0,1.5(BDL),0.4,124.0,68.0,27.2,56.0,13.6,10,23.0,272.0,42,0.2(BDL),0.5(BDL),2.0,0.35,28.0,0.9,0.05(BDL),2024
53,4094.0,Gangondanahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",2.8,7.0,1856.0,30.0,7.49,0.45,260.0,5400.0,,3(BDL),208.0,8.6,5(BDL),208.0,504.0,192.0,11.96,9.2,492.0,252.0,100.8,240.0,58.3,19,165.0,1244.0,12,0.32,0.5(BDL),12.0,0.3,41.0,3.24,0.84,2024
54,4096.0,Andhrahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",3.2,7.0,527.0,16.0,1.8,0.29,840.0,9200.0,,3(BDL),124.0,6.8,5(BDL),124.0,48.0,112.0,2.9,2.1,164.0,88.0,35.2,76.0,18.5,22,48.0,352.0,10(BDL),0.2(BDL),0.5(BDL),11.0,0.34,37.0,1.6,0.46,2024
55,4097.0,Kachohalli Lake,"E (Irrigation, industrial cooling and controlled waste)",0.3(BDL),6.7,1750.0,60.0,7.06,0.37,3100.0,11000.0,,3(BDL),560.0,20.6,5(BDL),560.0,268.0,296.0,15.6,12.0,488.0,248.0,99.2,240.0,58.3,38,150.0,1172.0,26,3.59,0.5(BDL),10.0,0.32,39.0,3.0,9.52,2024
56,4107.0,"River Dakshina Pinakini Near Mugalur Bridge Mugalur, Bengaluru","E (Irrigation, industrial cooling and controlled waste)",0.3(BDL),6.8,1235.0,21.0,4.98,0.24,68000.0,330000.0,,3(BDL),392.0,32.8,5(BDL),392.0,172.0,152.0,36.4,28.0,300.0,156.0,62.4,144.0,35.0,21,84.0,826.0,42,2.11,0.5(BDL),7.0,0.38,37.0,3.0,5.57,2024
57,4504.0,Sarakki Lake,"D (Propagation of wild
life,fisheries)",4.2,7.6,796.0,10.0,2.8,0.6,260.0,5400.0,,3(BDL),208.0,9.6,5(BDL),208.0,116.0,96.0,1.5(BDL),0.75,192.0,100.0,40.0,92.0,22.4,36,84.0,542.0,12,0.2(BDL),0.5(BDL),16.4,0.2(BDL),46.0,2.6,0.05(BDL),2024
58,4505.0,Nelamangala Lake,"E (Irrigation, industrial cooling and controlled waste)",0.9,6.5,1096.0,21.0,3.8,0.02(BDL),24000.0,48000.0,,3(BDL),312.0,17.8,5(BDL),312.0,180.0,152.0,2.8,2.0,364.0,188.0,75.2,176.0,42.8,17,100.0,736.0,24,1.3,0.5(BDL),33.0,0.49,35.0,2.0,3.6,2024
59,4506.0,Abbigere Lake,"D (Propagation of wild
life,fisheries)",5.4,7.2,758.0,6.0,0.3(BDL),2.6,270.0,3500.0,,3(BDL),216.0,5.4,5(BDL),216.0,108.0,52.0,1.5(BDL),0.4,240.0,128.0,51.2,112.0,27.2,17,88.0,508.0,10(BDL),0.2(BDL),0.5(BDL),6.0,0.29,44.0,,0.05(BDL),2024
60,4507.0,Chelekere Lake,"D (Propagation of wild
life,fisheries)",6.8,7.7,686.0,4.0,2.4,0.06,260.0,3500.0,,3(BDL),168.0,29.3,5(BDL),168.0,104.0,40.0,1.5(BDL),0.4,200.0,108.0,43.2,92.0,22.4,27,93.0,464.0,40,0.3,0.5(BDL),19.0,0.38,48.0,3.0,0.85,2024
61,4508.0,Singapura Lake,"D (Propagation of wild
life,fisheries)",7.4,7.7,692.0,4.0,2.4,0.05,2100.0,11000.0,,3(BDL),184.0,6.8,5(BDL),184.0,104.0,36.0,1.5(BDL),0.4,212.0,112.0,44.8,100.0,24.3,30,93.0,468.0,10(BDL),0.29,0.5(BDL),19.0,0.38,46.0,3.0,0.79,2024
62,4509.0,Narasipura Lake,"D (Propagation of wild
life,fisheries)",6.8,7.7,695.0,4.0,2.4,0.03,2100.0,9400.0,,3(BDL),180.0,18.6,5(BDL),180.0,104.0,44.0,1.5(BDL),0.4,180.0,96.0,38.4,84.0,20.4,30,93.0,470.0,26,0.3,0.5(BDL),20.0,0.37,50.0,3.0,0.8,2024
63,4510.0,Rachenahalli Lake,"D (Propagation of wild
life,fisheries)",7,7.0,1034.0,4.0,3.6,0.16,310.0,3500.0,,3(BDL),244.0,50.2,5(BDL),244.0,180.0,36.0,1.5(BDL),0.4,272.0,144.0,57.6,128.0,31.1,41,143.0,700.0,68,2.9,0.5(BDL),31.0,0.3,50.0,4.0,8.1,2024
64,4511.0,Kogilu Kere,"D (Propagation of wild
life,fisheries)",6.9,7.5,687.0,4.0,2.4,0.07,1400.0,7000.0,,3(BDL),176.0,24.2,5(BDL),176.0,96.0,40.0,1.5(BDL),0.4,196.0,104.0,41.6,92.0,22.4,28,91.0,464.0,34,0.27,0.5(BDL),19.0,0.38,47.0,3.0,0.72,2024
65,4512.0,Viswaneedam Lake,"E (Irrigation, industrial cooling and controlled waste)",2.4,7.0,428.0,17.0,1.3,0.02(BDL),1400.0,13000.0,,3(BDL),152.0,20.0,5(BDL),152.0,56.0,116.0,4.3,3.3,156.0,84.0,33.6,72.0,17.5,6,42.0,292.0,26,0.52,0.5(BDL),17.0,0.2(BDL),33.0,1.5,1,2024
66,4513.0,Ramammana Kere,"E (Irrigation, industrial cooling and controlled waste)",3.2,7.1,1233.0,21.0,4.57,0.31,170.0,2400.0,,3(BDL),304.0,10.8,5(BDL),304.0,172.0,172.0,10.66,8.2,396.0,204.0,81.6,192.0,46.7,11,95.0,826.0,14,1.04,0.5(BDL),6.0,0.28,34.0,2.08,2.74,2024
67,4514.0,Sadaramangala Lake,"D (Propagation of wild
life,fisheries)",5.9,7.4,659.0,5.0,2.65,0.02(BDL),140.0,3500.0,,3(BDL),128.0,13.2,5(BDL),128.0,116.0,60.0,1.5(BDL),0.52,136.0,72.0,28.8,64.0,15.6,20,53.0,442.0,16,0.38,0.5(BDL),4.0,0.32,38.0,1.98,1.17,2024
68,4515.0,Bhattarahalli Lake,"D (Propagation of wild
life,fisheries)",4.5,8.2,1001.0,9.0,3.5,0.02(BDL),210.0,3500.0,,3(BDL),124.0,16.2,5(BDL),124.0,208.0,88.0,1.5(BDL),0.4,100.0,56.0,22.4,44.0,10.7,42,180.0,662.0,22,0.2(BDL),0.5(BDL),27.0,0.58,74.0,8.0,0.05(BDL),2024
69,4516.0,Kundalahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",0.3(BDL),7.2,1693.0,20.0,6.83,0.31,3300.0,13000.0,,3(BDL),276.0,9.6,5(BDL),276.0,404.0,152.0,13,10.0,400.0,204.0,81.6,196.0,47.6,29,144.0,1134.0,12,1.82,0.5(BDL),12.0,0.4,43.0,3.13,5.57,2024
70,4517.0,Kowdhenahalli Tank,"D (Propagation of wild
life,fisheries)",4.3,7.5,758.0,8.0,2.6,0.71,24.0,1600.0,,3(BDL),236.0,7.4,5(BDL),236.0,84.0,76.0,1.5(BDL),0.4,264.0,140.0,56.0,124.0,30.1,20,79.0,512.0,10(BDL),2,0.5(BDL),23.0,0.23,37.0,2.0,5.4,2024
71,4518.0,Garudacharpalya Tank,"D (Propagation of wild
life,fisheries)",6,8.1,1160.0,8.0,4.68,0.28,310.0,9400.0,,3(BDL),236.0,8.2,5(BDL),236.0,244.0,76.0,1.5(BDL),0.4,296.0,152.0,60.8,144.0,35.0,6,97.0,776.0,10(BDL),2.93,0.5(BDL),10.0,0.35,40.0,2.44,8.99,2024
72,4519.0,Rampura Lake,"E (Irrigation, industrial cooling and controlled waste)",1,7.0,1138.0,20.0,3.9,0.02(BDL),26000.0,140000.0,,3(BDL),328.0,39.5,5(BDL),328.0,164.0,160.0,23,17.0,284.0,148.0,59.2,136.0,33.0,208,153.0,764.0,54,2.4,0.5(BDL),30.0,0.3,51.0,4.0,6.2,2024
73,4520.0,Chinnappanahalli Lake,"D (Propagation of wild
life,fisheries)",4.3,8.5,574.0,9.0,2.03,0.02(BDL),470.0,5400.0,,16,124.0,14.0,8,140.0,100.0,92.0,1.5(BDL),0.84,176.0,88.0,35.2,88.0,21.4,7,62.0,392.0,18,0.5,0.5(BDL),15.0,0.2(BDL),41.0,2.0,1.1,2024
74,4521.0,Devarabeesanahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",1.2,9.5,916.0,78.0,3.2,0.7,2600.0,54000.0,,48,100.0,63.0,24,148.0,172.0,261.0,3.8,2.9,276.0,144.0,57.6,132.0,32.1,71,96.0,622.0,82,0.2(BDL),0.5(BDL),26.0,0.22,40.0,0.8,0.4,2024
75,4522.0,Vibhuthipura Lake,"D (Propagation of wild
life,fisheries)",4.9,7.2,503.0,8.0,1.8,0.02(BDL),2100.0,11000.0,,3(BDL),148.0,8.0,5(BDL),148.0,68.0,76.0,1.5(BDL),0.8,156.0,84.0,33.6,72.0,17.5,10,58.0,342.0,10(BDL),0.4,0.5(BDL),17.0,0.2(BDL),41.0,2.0,0.8,2024
76,4523.0,Nallurahalli Lake,"D (Propagation of wild
life,fisheries)",4.1,8.2,1218.0,10.0,4.3,0.02(BDL),320.0,5400.0,,3(BDL),236.0,16.0,5(BDL),236.0,268.0,103.0,1.5(BDL),0.89,308.0,156.0,62.4,152.0,36.9,29,130.0,830.0,20,3,0.5(BDL),25.0,0.21,45.0,3.2,7,2024
77,4524.0,Pattandur Agrahara Lake,"D (Propagation of wild
life,fisheries)",5.6,7.0,1887.0,8.0,7.61,0.38,2100.0,5400.0,,3(BDL),304.0,15.2,5(BDL),304.0,476.0,88.0,1.5(BDL),0.95,464.0,236.0,94.4,228.0,55.4,38,164.0,1264.0,18,3.51,0.5(BDL),13.0,0.41,59.0,3.31,9.29,2024
