"STN
Code",Sampling Month,Name Of Monitoring Location,Use Based Class,Dissolved O2 (mg/L),pH,"Conductivi
ty (&micro; mho/cm)","BOD
(mg/L)",NitrateN (mg/L),"Fecal
Coliform (MPN/100m
l)",Total Coliform (MPN/100ml),"Carbona te (CO3-
) (mg/L)","Bicarbonate (HCO3-)
(mg/L)",Turbidity (mg/L),"Phenolphthalein Alkalinity (mg/L)",Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Ammonical-N (mg/L),"Total
Hardness (mg/L)",Ca as CaCo3 (mg/L),Mg as CaCo3 (mg/L),Sulphate (mg/L),Sodium (mg/L),"Total
Dissolved Solids (mg/L)",Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Year
4509,Aug,NARASIPURA LAKE,"D (Propagation of wild life,fisheries)",6.5,6.9,589,4.0,2.26,7000,160000,3(BDL),132.0,5.2,5(BDL),132.0,96.0,44,0.71,160,84,76,24,49.0,412,0.2 (BDL),0.5(BDL),12.0,0.2(BDL),2023
4510,Aug,RACHENAHALLI LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.1,7.1,1209,17.0,4.73,4600,92000,3(BDL),280.0,5.5,5(BDL),280.0,200.0,136,2.7,328,168,160,50,108.0,840,0.58,0.5(BDL),24.0,0.28,2023
4511,Aug,KOGILU KERE,"D (Propagation of wild life,fisheries)",6.4,7.0,522,4.0,2.0,3100,35000,3(BDL),116.0,3.1,5(BDL),116.0,84.0,40,0.64,140,76,64,21,45.0,364,0.2 (BDL),0.5(BDL),10.0,0.24,2023
4505,Aug,NELAMANGALA LAKE,"D (Propagation of wild life,fisheries)",4.1,7.3,1692,9.0,6.0,470,16000,3(BDL),428.0,1(BDL),5(BDL),428.0,244.0,96,0.66,500,252,248,22,116.0,1136,0.41,0.5(BDL),28.0,0.31,2023
3600,Aug,SHIVAPURA TANK,"E (Irrigation, industrial cooling and controlled waste)",0.3(BDL),7.0,2620,70.0,8.8,46000,540000,3(BDL),612.0,6.8,5(BDL),612.0,444.0,317,12.9,660,336,324,48,177.0,1836,0.63,0.5(BDL),52.0,0.26,2023
3601,Aug,KARIHOBANAHALLI LAKE,"E (Irrigation,
industrial cooling and controlled waste)",0.3(BDL),6.8,2163,66.0,8.2,170000,2400000,3(BDL),488.0,6.1,5(BDL),488.0,368.0,300,11.6,544,276,268,39,152.0,1512,0.57,0.5(BDL),43.0,0.22,2023
3632,Aug,VEERAPURA TANK,"D (Propagation of wild life,fisheries)",6.1,7.1,588,4.0,2.0,4600,92000,3(BDL),132.0,15.2,5(BDL),132.0,76.0,40,0.4,184,100,84,19,49.0,398,0.2 (BDL),0.5(BDL),10.0,0.26,2023
4503,Aug,MADHURE TANK,"D (Propagation of
wild life,fisheries)",6,7.0,589,4.0,2.0,6300,160000,3(BDL),136.0,17.2,5(BDL),136.0,76.0,44,0.4,168,88,80,22,48.0,396,"0.2
(BDL)",0.5(BDL),11.0,0.27,2023
3598,Aug,HEROHALLI TANK,"D (Propagation of wild life,fisheries)",4.2,7.6,1613,7.0,7.0,49000,350000,3(BDL),392.0,16.6,5(BDL),392.0,248.0,76,0.91,348,180,168,28,159.0,1128,1,0.5(BDL),26.0,0.2(BDL),2023
4512,Aug,VISWANEEDAM LAKE,"E (Irrigation, industrial cooling and controlled
waste)",0.3(BDL),7.3,1438,186.0,6.0,8400,92000,3(BDL),360.0,5.7,5(BDL),360.0,204.0,665,22.0,372,192,180,42,127.0,1006,1.41,0.5(BDL),24.0,0.2(BDL),2023
5558,Aug,"Kannahalli Lake Kannahalli, Bengaluru","E (Irrigation, industrial cooling and controlled
waste)",1.3,7.2,1688,24.0,7.0,170,3500,3(BDL),416.0,11.6,5(BDL),416.0,232.0,162,2.5,368,188,180,25,183.0,1164,0.93,0.5(BDL),27.0,0.2(BDL),2023
4097,Aug,KACHOHALLI LAKE,"E (Irrigation,
industrial cooling and controlled waste)",0.3(BDL),7.4,1687,124.0,7.0,7000,160000,3(BDL),376.0,9.8,5(BDL),376.0,224.0,480,13.2,324,168,156,34,170.0,1180,1.7,0.5(BDL),26.0,0.2(BDL),2023
4538,Aug,MACHOHALLI LAKE,"E (Irrigation, industrial cooling and controlled
waste)",0.3(BDL),7.3,1565,225.0,6.0,2300,24000,3(BDL),376.0,7.1,5(BDL),376.0,220.0,752,24.2,324,164,160,23,150.0,1094,1.6,0.5(BDL),24.0,0.2(BDL),2023
4094,Aug,GANGONDANAHALLI LAKE,"E (Irrigation,
industrial cooling and controlled waste)",0.3(BDL),7.3,1589,105.0,6.0,9400,54000,3(BDL),468.0,11,5(BDL),468.0,244.0,442,14.3,360,184,176,53,151.0,1112,3,0.5(BDL),23.0,0.2(BDL),2023
4514,Aug,SADARAMANGALA LAKE,"D (Propagation of wild life,fisheries)",4.7,6.9,566,9.0,1.1,1300,24000,3(BDL),160.0,3.1,5(BDL),160.0,116.0,115,0.4,196,108,88,7,66.0,390,0.2 (BDL),0.5(BDL),7.0,0.2(BDL),2023
4518,Aug,GARUDACHARPALYA TANK,"D (Propagation of wild life,fisheries)",4.4,6.8,535,6.0,1.0,3900,54000,3(BDL),156.0,2.6,5(BDL),156.0,124.0,75,0.4,176,104,72,6,68.0,380,0.2 (BDL),0.5(BDL),7.0,0.2(BDL),2023
