STN Code,Name Of Monitoring Location,Use Based Class,Temperature in o C,Dissolved O2 (mg/L),pH,Conductivity (micro;mho/c m),"BOD
(mg/L)",NitrateN (mg/L),NitriteN (mg/L),"Fecal Coliform (MPN/100ml)","Total Coliform (MPN/100ml)",Fecal Streptococci (MPN/100ml),"Carbonate (CO3-)
(mg/L)","Bicarbonate (HCO3-)
(mg/L)",Turbidity (mg/L),"Phenolphthalein Alkalinity
(mg/L)",Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)","Total Kjeldahl Nitrogen
(mg/L)",Ammonical-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Ca,Mg as CaCo3 (mg/L),Mg,Sulphate (mg/L),Sodium (mg/L),"Total Dissolved Solids
(mg/L)","Total Suspended Solids
(mg/L)",Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Year
3617,Hulimavu Lake,"D (Propagation of wild life,fisheries)",26.0,6,8.0,482.0,7.0,1.94,0.02(BDL),240.0,5400.0,,3(BDL),108.0,21.0,5(BDL),108.0,76.0,60.0,1.5(BDL),0.4,104.0,56.0,22.0,48.0,12.0,20.0,37.0,328.0,24,0.26,0.5(BDL),2.0,0.21,43.0,1.58,0.66,2024
3618,Singasandra Lake,"D (Propagation of wild life,fisheries)",26.0,6.1,8.0,400.0,4.0,0.3(BDL),1.6,410.0,3500.0,,3(BDL),104.0,5.1,5(BDL),104.0,60.0,40.0,1.5(BDL),0.4,140.0,76.0,30.0,64.0,16.0,22.0,48.0,308.0,10(BDL),0.31,0.5(BDL),5.0,0.32,41.0,1.7,0.84,2024
3619,Begur Tank,"D (Propagation of wild life,fisheries)",26.0,6.1,7.3,1546.0,4.0,5.4,0.02(BDL),170.0,2400.0,,3(BDL),128.0,24.5,5(BDL),128.0,360.0,44.0,1.5(BDL),0.4,232.0,124.0,50.0,108.0,26.0,120.0,188.0,1034.0,34,0.24,0.5(BDL),45.0,0.64,58.0,5.0,0.59,2024
3620,Parappana Agrahara Lake,"D (Propagation of wild life,fisheries)",26.0,5.7,8.0,608.0,5.0,0.65,2.2,24.0,1600.0,,3(BDL),96.0,20.6,5(BDL),96.0,100.0,60.0,1.5(BDL),0.4,116.0,64.0,26.0,52.0,13.0,39.0,65.0,410.0,28,0.83,0.5(BDL),10.0,0.31,52.0,2.6,2.2,2024
3621,Haralur Lake,"D (Propagation of wild life,fisheries)",25.0,6,8.2,676.0,4.0,0.71,2.4,270.0,3500.0,,3(BDL),104.0,170.0,5(BDL),104.0,128.0,48.0,1.5(BDL),0.4,116.0,64.0,26.0,52.0,13.0,27.0,70.0,454.0,198,0.79,0.5(BDL),8.0,0.26,54.0,2.9,2,2024
3622,Somasundrapalya Lake,"D (Propagation of wild life,fisheries)",26.0,5.8,7.1,814.0,5.0,0.3(BDL),2.8,43.0,920.0,,3(BDL),132.0,3.2,5(BDL),132.0,148.0,68.0,1.5(BDL),0.4,152.0,84.0,34.0,68.0,17.0,19.0,86.0,548.0,10(BDL),8,0.5(BDL),13.0,2.2,52.0,3.0,0.84,2024
3623,Anekal Doddakere Tank,"E (Irrigation, industrial cooling and controlled waste)",25.0,3.4,7.4,1690.0,17.0,5.9,0.02(BDL),260.0,3500.0,,3(BDL),208.0,3.5,5(BDL),208.0,456.0,116.0,1.9,1.4,340.0,176.0,70.0,164.0,40.0,26.0,172.0,1132.0,10(BDL),0.41,0.5(BDL),22.0,0.51,50.0,4.0,1.2,2024
3624,Puttenahalli Lake,"D (Propagation of wild life,fisheries)",24.0,5.8,7.2,681.0,7.0,2.75,0.02(BDL),260.0,5400.0,,3(BDL),156.0,16.2,5(BDL),156.0,108.0,64.0,1.5(BDL),0.4,168.0,88.0,35.0,80.0,19.0,16.0,58.0,462.0,18,1.34,0.5(BDL),4.0,0.21,42.0,1.95,3.54,2024
3625,Hebbal Lake,"D (Propagation of wild life,fisheries)",25.0,5.9,7.0,685.0,6.0,2.76,0.02(BDL),3100.0,9400.0,,3(BDL),148.0,17.8,5(BDL),148.0,112.0,56.0,1.5(BDL),0.4,156.0,84.0,34.0,72.0,18.0,27.0,59.0,446.0,20,1.18,0.5(BDL),4.0,0.28,44.0,2.06,3.03,2024
3626,Nagavara Lake,"D (Propagation of wild life,fisheries)",25.0,5.9,7.1,679.0,6.0,2.74,0.02(BDL),210.0,5400.0,,3(BDL),160.0,10.6,5(BDL),160.0,96.0,56.0,1.5(BDL),0.4,176.0,92.0,37.0,84.0,20.0,23.0,55.0,462.0,12,1.05,0.5(BDL),3.0,0.24,40.0,1.81,2.78,2024
3627,Jakkur Lake,"D (Propagation of wild life,fisheries)",24.0,4.3,6.9,910.0,8.0,3.67,0.02(BDL),930.0,7900.0,,3(BDL),188.0,12.6,5(BDL),188.0,156.0,80.0,1.5(BDL),0.68,200.0,120.0,48.0,80.0,19.0,22.0,72.0,618.0,14,2.79,0.5(BDL),5.0,0.26,43.0,2.21,7.22,2024
3628,Amruthahalli Lake,"D (Propagation of wild life,fisheries)",24.0,4.6,7.2,658.0,7.0,2.3,0.02(BDL),12000.0,70000.0,,3(BDL),152.0,42.5,5(BDL),152.0,92.0,84.0,1.5(BDL),0.51,152.0,84.0,34.0,68.0,17.0,17.0,62.0,440.0,58,1.3,0.5(BDL),18.0,0.35,45.0,2.0,3.4,2024
3629,Allalasandra Lake,"D (Propagation of wild life,fisheries)",24.0,4.8,7.0,922.0,9.0,3.72,0.02(BDL),170.0,3500.0,,3(BDL),180.0,20.3,5(BDL),180.0,172.0,84.0,1.5(BDL),0.73,200.0,120.0,48.0,80.0,19.0,20.0,77.0,626.0,24,2.92,0.5(BDL),5.0,0.32,45.0,2.36,7.63,2024
3630,Yelahanka Tank,"D (Propagation of wild life,fisheries)",24.0,4.6,6.9,920.0,9.0,3.71,0.02(BDL),1100.0,46000.0,,3(BDL),192.0,19.8,5(BDL),192.0,148.0,88.0,1.5(BDL),0.4,196.0,104.0,42.0,92.0,22.0,20.0,76.0,624.0,24,2.88,0.5(BDL),4.0,0.3,45.0,2.35,7.49,2024
3633,Subramanyapura Tank,"D (Propagation of wild life,fisheries)",24.0,4.9,8.1,643.0,8.0,2.2,0.02(BDL),1200.0,13000.0,,3(BDL),172.0,118.0,5(BDL),180.0,124.0,84.0,1.5(BDL),0.92,144.0,76.0,30.0,68.0,17.0,18.0,72.0,438.0,154,0.5,0.5(BDL),25.0,0.2(BDL),47.0,2.6,1,2024
3634,Devarakere Tank,"D (Propagation of wild life,fisheries)",24.0,4.6,8.7,383.0,9.0,0.3(BDL),1.1,1700.0,7000.0,,3(BDL),136.0,62.4,5(BDL),136.0,40.0,87.0,1.5(BDL),0.95,112.0,60.0,24.0,52.0,13.0,19.0,36.0,260.0,104,1,0.5(BDL),16.0,0.2(BDL),35.0,1.36,2,2024
3635,Malathahalli Lake,"D (Propagation of wild life,fisheries)",23.6,4.9,6.7,666.0,5.0,2.6,0.02(BDL),2100.0,11000.0,,3(BDL),152.0,60.1,5(BDL),152.0,112.0,48.0,1.5(BDL),0.62,180.0,92.0,37.0,88.0,21.0,27.0,61.0,458.0,72,0.2(BDL),0.5(BDL),13.0,0.2(BDL),40.0,2.0,0.45,2024
3636,Hoskere Lake,"E (Irrigation, industrial cooling and controlled waste)",23.0,3.1,6.5,398.0,18.0,1.5,0.02(BDL),2000.0,9400.0,,3(BDL),88.0,29.6,5(BDL),88.0,64.0,160.0,4.1,3.7,104.0,56.0,22.0,48.0,12.0,16.0,37.0,266.0,36,0.2(BDL),0.5(BDL),8.0,0.2(BDL),41.0,2.0,0.05(BDL),2024
3638,Yelachenahalli Lake,"D (Propagation of wild life,fisheries)",24.0,5.1,7.9,409.0,5.0,1.6,0.02(BDL),310.0,3500.0,,3(BDL),92.0,6.4,5(BDL),92.0,64.0,50.0,1.5(BDL),0.56,108.0,60.0,24.0,48.0,12.0,17.0,77.0,278.0,10(BDL),0.2(BDL),0.5(BDL),8.0,0.2(BDL),58.0,3.22,0.05(BDL),2024
3639,Kengeri Tank,"D (Propagation of wild life,fisheries)",24.0,6.1,7.6,756.0,4.0,2.9,0.02(BDL),14.0,240.0,,3(BDL),176.0,4.3,5(BDL),176.0,128.0,43.0,1.5(BDL),0.4,204.0,108.0,43.0,96.0,23.0,31.0,73.0,518.0,10(BDL),0.2(BDL),0.5(BDL),15.0,0.21,42.0,2.2,0.51,2024
3640,Uttarahalli Doraikere,"D (Propagation of wild life,fisheries)",24.0,4.2,6.5,248.0,9.0,0.7,0.02(BDL),1100.0,7900.0,,3(BDL),76.0,66.0,5(BDL),76.0,28.0,89.0,1.5(BDL),0.9,76.0,44.0,18.0,32.0,8.0,15.0,30.0,170.0,86,0.3,0.5(BDL),10.0,0.2(BDL),42.0,1.5,0.6,2024
3641,Dhorekere Tank,"E (Irrigation, industrial cooling and controlled waste)",24.0,3,7.5,385.0,12.0,1.3,0.3,2600.0,11000.0,,3(BDL),136.0,80.0,5(BDL),136.0,40.0,116.0,1.6,1.2,124.0,64.0,26.0,60.0,15.0,19.0,36.0,260.0,104,1,0.5(BDL),16.0,0.2(BDL),35.0,1.36,2,2024
3642,Jigani Tank,"E (Irrigation, industrial cooling and controlled waste)",26.0,2.7,7.4,964.0,30.0,3.4,0.26,210.0,5400.0,,3(BDL),236.0,5.5,5(BDL),236.0,136.0,172.0,10.6,8.0,212.0,112.0,45.0,100.0,24.0,12.0,105.0,650.0,10(BDL),2.9,0.5(BDL),14.0,0.31,50.0,3.0,7.9,2024
3643,Benniganahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",26.0,3.1,6.7,582.0,14.0,2.2,0.02(BDL),210.0,3500.0,,3(BDL),132.0,3.9,5(BDL),132.0,96.0,120.0,2.3,1.9,156.0,84.0,34.0,72.0,18.0,24.0,51.0,396.0,10(BDL),0.24,0.5(BDL),12.0,0.2(BDL),39.0,2.0,0.68,2024
3655,Mathikere Tank,"D (Propagation of wild life,fisheries)",27.0,4.9,7.2,349.0,5.0,1.3,0.02(BDL),210.0,3500.0,,3(BDL),76.0,38.8,5(BDL),76.0,56.0,51.0,1.5(BDL),0.59,92.0,52.0,21.0,40.0,10.0,14.0,31.0,236.0,46,0.2(BDL),0.5(BDL),7.0,0.37,40.0,1.4,0.05(BDL),2024
3678,Nanjapura Tank,"E (Irrigation, industrial cooling and controlled waste)",27.0,4.9,6.89,2970.0,8.0,3.5,,,,,,,4.0,5(BDL),480.0,440.0,134.0,,0.4,740.0,400.0,160.0,340.0,83.0,500.0,346.0,2020.0,12,0.2(BDL),0.5(BDL),12.0,0.9,,5.53,,2024
4094,Gangondanahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",24.0,0.3(BDL),6.8,1376.0,45.0,5.55,0.31,2600.0,9400.0,,3(BDL),232.0,4.6,5(BDL),232.0,288.0,300.0,18.23,15.0,328.0,168.0,67.0,160.0,39.0,53.0,152.0,934.0,10(BDL),1.25,0.5(BDL),9.0,0.43,44.0,3.0,3.41,2024
4097,Kachohalli Lake,"E (Irrigation, industrial cooling and controlled waste)",23.0,0.3(BDL),6.6,1750.0,79.0,,0.43,2100.0,11000.0,,3(BDL),408.0,5.1,5(BDL),408.0,296.0,400.0,45,38.0,476.0,244.0,98.0,232.0,56.0,71.0,160.0,1198.0,10(BDL),1.04,0.5(BDL),35.0,0.23,40.0,3.2,2.9,2024
4107,"River Dakshina Pinakini Near Mugalur Bridge Mugalur, Bengaluru","E (Irrigation, industrial cooling and controlled waste)",22.0,2.2,7.0,968.0,42.0,3.4,0.72,260.0,3500.0,,3(BDL),220.0,144.0,5(BDL),220.0,120.0,236.0,28,20.0,212.0,112.0,45.0,100.0,24.0,32.0,94.0,648.0,14,1.4,0.5(BDL),31.0,0.26,45.0,3.0,3.6,2024
4504,Sarakki Lake,"D (Propagation of wild life,fisheries)",25.0,5.3,7.5,808.0,5.0,3.1,0.02(BDL),210.0,3500.0,,3(BDL),184.0,4.9,5(BDL),184.0,132.0,48.0,1.5(BDL),0.41,216.0,112.0,45.0,104.0,25.0,33.0,79.0,550.0,10(BDL),0.27,0.5(BDL),16.0,0.26,42.0,2.35,0.79,2024
4505,Nelamangala Lake,"E (Irrigation, industrial cooling and controlled waste)",24.0,2,6.7,1213.0,18.0,4.3,0.6,3300.0,28000.0,,3(BDL),348.0,28.6,5(BDL),348.0,216.0,118.0,6,3.9,336.0,172.0,69.0,164.0,40.0,24.0,132.0,826.0,38,2,0.5(BDL),28.0,0.3,43.0,3.1,4,2024
4506,Abbigere Lake,"D (Propagation of wild life,fisheries)",24.0,5.7,7.9,935.0,5.0,3.3,0.19,17.0,920.0,,3(BDL),152.0,35.9,5(BDL),152.0,164.0,52.0,1.5(BDL),0.4,200.0,108.0,43.0,92.0,22.0,74.0,104.0,624.0,48,0.22,0.5(BDL),14.0,0.32,51.0,3.0,0.55,2024
4507,Chelekere Lake,"D (Propagation of wild life,fisheries)",24.0,6,7.0,681.0,5.0,2.75,0.02(BDL),11000.0,49000.0,,3(BDL),156.0,22.3,5(BDL),156.0,116.0,48.0,1.5(BDL),0.4,172.0,92.0,37.0,80.0,19.0,21.0,56.0,464.0,26,1.07,0.5(BDL),3.0,0.26,41.0,1.85,2.85,2024
4508,Singapura Lake,"D (Propagation of wild life,fisheries)",24.0,6.1,7.0,684.0,5.0,2.76,0.02(BDL),930.0,7900.0,,3(BDL),164.0,24.6,5(BDL),164.0,124.0,44.0,1.5(BDL),0.4,188.0,100.0,40.0,88.0,21.0,23.0,56.0,464.0,30,1.15,0.5(BDL),3.0,0.29,39.0,1.77,2.94,2024
4509,Narasipura Lake,"D (Propagation of wild life,fisheries)",25.0,5.8,7.0,686.0,6.0,0.3(BDL),2.77,260.0,3500.0,,3(BDL),152.0,23.5,5(BDL),152.0,116.0,56.0,1.5(BDL),0.4,176.0,92.0,37.0,84.0,20.0,21.0,56.0,466.0,28,1.05,0.5(BDL),3.0,0.29,40.0,1.84,2.78,2024
4510,Rachenahalli Lake,"D (Propagation of wild life,fisheries)",25.0,4.8,6.9,948.0,7.0,3.7,0.02(BDL),3100.0,11000.0,,3(BDL),176.0,18.8,5(BDL),176.0,164.0,60.0,1.5(BDL),0.71,196.0,104.0,42.0,92.0,22.0,21.0,73.0,646.0,22,1.35,0.5(BDL),5.0,0.34,44.0,2.26,3.57,2024
4511,Kogilu Kere,"D (Propagation of wild life,fisheries)",24.0,5.7,7.4,661.0,5.0,2.3,0.02(BDL),2300.0,13000.0,,3(BDL),156.0,16.7,5(BDL),156.0,92.0,64.0,1.5(BDL),0.4,148.0,80.0,32.0,68.0,17.0,16.0,65.0,444.0,24,1.5,0.5(BDL),21.0,0.38,46.0,2.0,3.8,2024
4512,Viswaneedam Lake,"E (Irrigation, industrial cooling and controlled waste)",24.0,2.6,6.6,396.0,28.0,1.59,0.02(BDL),320.0,3500.0,,3(BDL),112.0,5.0,5(BDL),112.0,36.0,196.0,4.6,3.6,116.0,64.0,26.0,52.0,13.0,6.0,26.0,268.0,10(BDL),1.24,0.5(BDL),2.0,0.2(BDL),32.0,1.05,3.44,2024
4513,Ramammana Kere,"E (Irrigation, industrial cooling and controlled waste)",24.0,3.3,7.1,1236.0,17.0,4.7,0.5,32.0,1600.0,,3(BDL),288.0,6.8,5(BDL),288.0,208.0,129.0,2.5,2.1,336.0,172.0,69.0,164.0,40.0,52.0,117.0,846.0,10(BDL),0.31,0.5(BDL),25.0,0.32,41.0,2.78,0.88,2024
4514,Sadaramangala Lake,"D (Propagation of wild life,fisheries)",26.0,5.6,7.2,639.0,5.0,2.2,0.02(BDL),310.0,3500.0,,3(BDL),84.0,19.2,5(BDL),84.0,108.0,60.0,1.5(BDL),0.48,156.0,84.0,34.0,72.0,18.0,32.0,80.0,422.0,26,0.44,0.5(BDL),27.0,0.3,47.0,3.0,1.2,2024
4515,Bhattarahalli Lake,"D (Propagation of wild life,fisheries)",26.0,5.6,7.0,1045.0,4.0,4,0.29,1700.0,11000.0,,3(BDL),240.0,4.6,5(BDL),240.0,176.0,40.0,1.5(BDL),0.4,284.0,148.0,59.0,136.0,33.0,42.0,104.0,716.0,10(BDL),0.26,0.5(BDL),21.0,0.31,42.0,2.68,0.76,2024
4516,Kundalahalli Lake,"D (Propagation of wild life,fisheries)",25.2,5.2,7.3,668.0,4.0,2.5,0.02(BDL),390.0,3500.0,,3(BDL),148.0,4.3,5(BDL),148.0,112.0,44.0,1.5(BDL),0.44,184.0,96.0,38.0,88.0,21.0,27.0,63.0,456.0,10(BDL),0.2(BDL),0.5(BDL),13.0,0.2(BDL),41.0,2.02,0.05(BDL),2024
4517,Kowdhenahalli Tank,"E (Irrigation, industrial cooling and controlled waste)",26.0,2.2,6.7,698.0,33.0,2.7,0.02(BDL),1100.0,4800.0,,3(BDL),160.0,5.3,5(BDL),160.0,116.0,200.0,3.2,2.8,188.0,100.0,40.0,88.0,21.0,28.0,66.0,474.0,10(BDL),0.26,0.5(BDL),16.0,0.2(BDL),41.0,2.1,0.74,2024
4518,Garudacharpalya Tank,"D (Propagation of wild life,fisheries)",26.0,5.9,8.2,642.0,4.0,2.2,0.58,400.0,5400.0,,3(BDL),104.0,19.1,5(BDL),104.0,104.0,48.0,1.5(BDL),0.4,160.0,88.0,35.0,72.0,18.0,30.0,82.0,428.0,24,0.59,0.5(BDL),30.0,0.29,47.0,3.0,1.7,2024
4519,Rampura Lake,"E (Irrigation, industrial cooling and controlled waste)",25.0,0.3(BDL),7.0,1166.0,5.0,4.5,0.31,17.0,1600.0,,3(BDL),272.0,28.6,5(BDL),272.0,196.0,47.0,8.1,7.6,316.0,164.0,66.0,152.0,37.0,48.0,113.0,802.0,34,1.3,0.5(BDL),23.0,0.26,41.0,2.76,3.79,2024
4520,Chinnappanahalli Lake,"D (Propagation of wild life,fisheries)",22.0,5.4,7.2,665.0,5.0,2.1,0.02(BDL),1400.0,7900.0,,3(BDL),144.0,4.6,5(BDL),144.0,108.0,48.0,1.5(BDL),0.4,176.0,92.0,37.0,84.0,20.0,27.0,61.0,448.0,10(BDL),0.2(BDL),0.5(BDL),12.0,0.2(BDL),41.0,2.0,0.05(BDL),2024
4521,Devarabeesanahalli Lake,"D (Propagation of wild life,fisheries)",26.0,5.8,7.2,450.0,8.0,4.15,0.02(BDL),120.0,3500.0,,3(BDL),64.0,7.2,5(BDL),64.0,28.0,72.0,1.5(BDL),0.68,64.0,36.0,14.0,28.0,7.0,13.0,69.0,306.0,10(BDL),0.2(BDL),0.5(BDL),5.0,0.46,68.0,3.75,0.05(BDL),2024
4522,Vibhuthipura Lake,"D (Propagation of wild life,fisheries)",25.0,5.8,6.9,460.0,5.0,1.5,0.72,9200.0,46000.0,,3(BDL),132.0,74.2,5(BDL),132.0,40.0,64.0,1.5(BDL),0.4,156.0,84.0,34.0,72.0,18.0,27.0,46.0,312.0,92,0.86,0.5(BDL),24.0,0.3,34.0,2.0,2.2,2024
4523,Nallurahalli Lake,"D (Propagation of wild life,fisheries)",26.0,6.3,7.0,672.0,4.0,2.6,0.02(BDL),260.0,5400.0,,3(BDL),152.0,5.2,5(BDL),152.0,112.0,42.0,1.5(BDL),0.46,180.0,96.0,38.0,84.0,20.0,27.0,64.0,454.0,10(BDL),0.2(BDL),0.5(BDL),13.0,0.2(BDL),42.0,2.07,0.05(BDL),2024
4524,Pattandur Agrahara Lake,"D (Propagation of wild life,fisheries)",25.0,5.6,7.6,1516.0,5.0,5.8,0.02(BDL),32.0,1600.0,,3(BDL),352.0,4.1,5(BDL),352.0,256.0,48.0,1.5(BDL),0.4,412.0,212.0,85.0,200.0,49.0,62.0,141.0,1042.0,10(BDL),0.28,0.5(BDL),30.0,0.48,40.0,3.02,0.8,2024
4525,Seetharampalya Lake,"D (Propagation of wild life,fisheries)",25.0,6.2,7.5,1078.0,4.0,4.1,0.02(BDL),1400.0,7900.0,,3(BDL),248.0,6.8,5(BDL),248.0,180.0,40.0,1.5(BDL),0.4,292.0,152.0,61.0,140.0,34.0,44.0,103.0,726.0,10(BDL),0.2(BDL),0.5(BDL),22.0,0.22,41.0,2.62,0.49,2024
