SLNO,STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,TEMP,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,FECALSTREPTOCOCCI,CARBONATE,BICARBONATE,TURBIDITY_MGL,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,CA,MGASCACO3,MG,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,FREEAMMONIAASN,ORTHOPHOSPHATE,YEAR
70,4518.0,Garudacharpalya Tank,"D (Propagation of wild life,fisheries)",26.0,4.4,8.1,700.0,11.0,2.7,1700.0,4600.0,,3(BDL),164.0,8.5,5(BDL),164.0,116.0,101.0,1.5(BDL),0.8,148.0,80.0,32.0,68.0,17.0,13,82.0,476.0,10(BDL),1.2,0.5(BDL),15.0,0.2(BDL),51.0,2.9,BDL,4.3,2024
71,4519.0,Rampura Lake,"E (Irrigation, industrial cooling and controlled waste)",27.0,0.3(BDL),6.7,1636.0,74.0,6.0,2600.0,11000.0,,3(BDL),484.0,46.0,5(BDL),484.0,216.0,488.0,26.3,20.2,328.0,168.0,67.0,160.0,39.0,23,250.0,1112.0,60,1.64,0.5(BDL),37.0,0.34,59.0,6.0,BDL,3.49,2024
72,4520.0,Chinnappanahalli Lake,"D (Propagation of wild life,fisheries)",27.0,4.9,8.5,615.0,9.0,2.4,580.0,3500.0,,24,104.0,8.4,12,128.0,108.0,84.0,1.5(BDL),0.77,96.0,52.0,21.0,44.0,11.0,16,76.0,430.0,10(BDL),0.2(BDL),0.5(BDL),13.0,0.3,59.0,3.4,BDL,0.05(BDL),2024
73,4521.0,Devarabeesanahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",28.0,1.2,7.5,998.0,18.0,4.0,2600.0,9400.0,,3(BDL),120.0,79.0,5(BDL),120.0,188.0,156.0,4.16,3.2,136.0,72.0,29.0,64.0,16.0,28,120.0,678.0,104,0.2(BDL),0.5(BDL),28.0,0.36,60.0,4.0,BDL,0.05(BDL),2024
74,4522.0,Vibhuthipura Lake,"D (Propagation of wild life,fisheries)",21.0,5.9,7.8,646.0,7.0,2.1,210.0,3500.0,,3(BDL),104.0,39.3,5(BDL),104.0,60.0,60.0,1.5(BDL),0.4,136.0,72.0,29.0,64.0,16.0,29,55.0,438.0,50,0.2(BDL),0.5(BDL),14.0,0.2(BDL),43.0,2.0,BDL,0.05(BDL),2024
75,4523.0,Nallurahalli Lake,"D (Propagation of wild life,fisheries)",27.0,4.9,6.6,750.0,9.0,4.7,1700.0,13000.0,,3(BDL),76.0,7.3,5(BDL),76.0,240.0,86.0,1.5(BDL),0.79,260.0,136.0,54.0,124.0,30.0,118,140.0,520.0,20,0.3,0.5(BDL),16.0,0.4,52.0,3.8,BDL,0.8,2024
76,4524.0,Pattandur Agrahara Lake,"E (Irrigation, industrial cooling and controlled waste)",26.0,4.7,7.4,2269.0,10.0,10.0,2100.0,9400.0,,3(BDL),416.0,9.8,5(BDL),416.0,552.0,90.0,1.5(BDL),0.72,524.0,268.0,107.0,256.0,62.0,61,291.0,1552.0,20,3.1,0.5(BDL),30.0,0.25,69.0,5.5,BDL,6.2,2024
77,4525.0,Seetharampalya Lake,"D (Propagation of wild life,fisheries)",26.0,4.6,8.5,1020.0,10.0,5.6,2600.0,4800.0,,64,160.0,9.7,32,224.0,124.0,98.0,1.5(BDL),0.82,284.0,148.0,59.0,136.0,33.0,36,163.0,652.0,12,1.7,0.5(BDL),22.0,0.2(BDL),53.0,4.2,BDL,6,2024
78,4526.0,Devasandra Lake,"E (Irrigation, industrial cooling and controlled waste)",20.0,3.3,6.5,624.0,16.0,2.39,17000.0,33000.0,,3(BDL),140.0,38.8,5(BDL),140.0,100.0,133.0,4.5,3.6,168.0,88.0,35.0,80.0,19.0,25,60.0,430.0,46,0.59,0.5(BDL),12.0,0.2(BDL),42.0,2.0,BDL,1.72,2024
79,4527.0,Sheelavanta-Whitefield Lake,"D (Propagation of wild life,fisheries)",24.0,4.7,8.1,1235.0,10.0,10.0,14000.0,46000.0,,3(BDL),208.0,10.2,5(BDL),208.0,292.0,94.0,1.5(BDL),0.76,248.0,128.0,51.0,120.0,29.0,26,164.0,850.0,14,2,0.5(BDL),20.0,0.2(BDL),57.0,4.5,BDL,3.7,2024
80,4528.0,Doddakannehalli Lake,"E (Irrigation, industrial cooling and controlled waste)",28.0,1.3,7.9,2015.0,17.0,7.0,2300.0,7900.0,,3(BDL),564.0,122.0,5(BDL),564.0,332.0,132.0,2.86,2.3,340.0,176.0,70.0,164.0,40.0,108,252.0,1370.0,158,1.64,0.5(BDL),40.0,0.36,58.0,6.0,BDL,3.49,2024
81,4529.0,Kasavanahalli Lake,"D (Propagation of wild life,fisheries)",27.0,6,7.7,986.0,5.0,4.0,220.0,2400.0,,3(BDL),120.0,5.7,5(BDL),120.0,184.0,48.0,1.5(BDL),0.46,148.0,80.0,32.0,68.0,17.0,34,118.0,680.0,10(BDL),0.2(BDL),0.5(BDL),30.0,0.27,58.0,4.0,BDL,0.21,2024
82,4530.0,Kammasandra Lake,"E (Irrigation, industrial cooling and controlled waste)",23.0,0.3(BDL),7.4,2356.0,90.0,9.0,310000.0,940000.0,,3(BDL),552.0,16.2,5(BDL),552.0,400.0,369.0,27,21.0,640.0,324.0,130.0,316.0,77.0,96,188.0,1648.0,20,0.76,0.5(BDL),47.0,0.48,37.0,3.2,BDL,2.16,2024
83,4531.0,Rayasandra Lake,"E (Irrigation, industrial cooling and controlled waste)",21.0,0.3(BDL),7.7,2250.0,66.0,8.6,1700.0,7900.0,,3(BDL),524.0,8.1,5(BDL),524.0,380.0,328.0,5.8,4.9,612.0,308.0,123.0,304.0,74.0,92,180.0,1562.0,10(BDL),0.69,0.5(BDL),45.0,0.46,37.0,3.2,BDL,1.93,2024
84,4532.0,Chandapura Lake,"E (Irrigation, industrial cooling and controlled waste)",24.0,0.3(BDL),7.19,2552.0,51.0,11.0,140000.0,490000.0,,3(BDL),608.0,14.0,5(BDL),608.0,448.0,354.0,42,32.0,708.0,360.0,144.0,348.0,85.0,34,236.0,1736.0,150,0.96,0.5(BDL),28.0,0.67,45.0,5.0,BDL,2.97,2024
85,4534.0,Sompura Lake,"D (Propagation of wild life,fisheries)",27.6,4.8,8.7,1284.0,9.0,5.5,170.0,2400.0,,96,632.0,9.2,48,528.0,164.0,80.0,1.5(BDL),0.78,188.0,96.0,38.0,92.0,22.0,47,164.0,894.0,12,0.2(BDL),0.5(BDL),32.0,0.21,61.0,5.2,BDL,0.05(BDL),2024
86,4536.0,Hosakerehalli Lake,"E (Irrigation, industrial cooling and controlled waste)",28.8,1.5,6.7,1038.0,17.0,4.3,240.0,3500.0,,3(BDL),500.0,18.5,5(BDL),500.0,104.0,114.0,3.6,2.8,316.0,164.0,66.0,152.0,37.0,9,136.0,724.0,24,6,0.5(BDL),30.0,0.2(BDL),45.0,3.3,BDL,13.4,2024
87,4537.0,Chinnakurchi Kere,"D (Propagation of wild life,fisheries)",26.7,4.6,8.8,1400.0,9.0,6.7,3400.0,13000.0,,104,612.0,7.8,52,716.0,204.0,86.0,1.5(BDL),0.91,296.0,152.0,61.0,144.0,35.0,46,197.0,972.0,10(BDL),0.4,0.5(BDL),36.0,0.24,55.0,5.0,BDL,1,2024
88,4538.0,Machohalli Lake,"E (Irrigation, industrial cooling and controlled waste)",26.0,0.3(BDL),7.7,3090.0,120.0,11.8,14000.0,46000.0,,3(BDL),724.0,18.4,5(BDL),724.0,528.0,401.0,30,24.0,848.0,428.0,171.0,420.0,102.0,126,247.0,2156.0,24,1.65,0.5(BDL),62.0,0.26,37.0,3.7,BDL,4.54,2024
89,4539.0,Doddabidarakallu Lake,"E (Irrigation, industrial cooling and controlled waste)",27.0,0.8,7.6,1185.0,18.0,6.0,1100000.0,4900000.0,,3(BDL),456.0,20.5,5(BDL),456.0,152.0,120.0,3.3,2.0,436.0,224.0,90.0,212.0,52.0,53,174.0,525.0,28,2,0.5(BDL),35.0,0.28,44.0,3.6,BDL,5.9,2024
90,4540.0,Kammagondanahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",29.0,0.7,7.8,1360.0,18.0,6.6,1700.0,4800.0,,3(BDL),652.0,18.6,5(BDL),652.0,216.0,120.0,2.9,2.2,428.0,220.0,88.0,208.0,51.0,23,191.0,944.0,24,6,0.5(BDL),35.0,0.22,34.0,4.0,BDL,14.7,2024
91,4542.0,Basavanapura Lake,"D (Propagation of wild life,fisheries)",26.0,4.4,7.4,641.0,8.0,1.1,11000.0,33000.0,,3(BDL),148.0,54.0,5(BDL),148.0,100.0,83.0,1.5(BDL),0.4,192.0,104.0,42.0,88.0,21.0,23,60.0,370.0,68,0.2(BDL),0.5(BDL),8.0,0.32,39.0,2.0,BDL,0.05(BDL),2024
92,4543.0,Kodi Singasandra Lake,"D (Propagation of wild life,fisheries)",26.0,4.2,7.28,1014.0,5.0,2.5,2400.0,4800.0,,3(BDL),180.0,12.3,5(BDL),180.0,224.0,55.0,1.5(BDL),0.4,236.0,124.0,50.0,112.0,27.0,52,96.0,670.0,16,0.2(BDL),0.5(BDL),6.0,0.47,46.0,3.0,BDL,0.05(BDL),2024
93,4544.0,Kothanuru Lake,"D (Propagation of wild life,fisheries)",25.6,4.3,7.6,457.0,7.0,,2700.0,11000.0,,3(BDL),136.0,12.3,5(BDL),136.0,44.0,63.0,1.5(BDL),0.9,204.0,108.0,43.0,96.0,23.0,17,39.0,320.0,16,0.2(BDL),0.5(BDL),4.0,0.3,29.0,1.1,BDL,0.05(BDL),2024
94,4547.0,Mangamanapalya Lake(Swarana Kunte),"E (Irrigation, industrial cooling and controlled waste)",27.0,3,7.6,1135.0,15.0,3.6,13000.0,46000.0,,3(BDL),320.0,130.0,5(BDL),320.0,176.0,149.0,13,10.0,308.0,160.0,64.0,148.0,36.0,17,110.0,774.0,170,1.2,0.5(BDL),14.0,0.36,42.0,2.7,BDL,3.2,2024
95,5558.0,"Kannahalli Lake Kannahalli, Bengaluru","D (Propagation of wild life,fisheries)",27.0,4.1,7.4,1713.0,5.0,6.6,1700.0,7900.0,,3(BDL),400.0,9.8,5(BDL),400.0,292.0,48.0,1.5(BDL),0.86,460.0,236.0,94.0,224.0,54.0,70,137.0,1186.0,14,0.5,0.5(BDL),34.0,0.2(BDL),37.0,2.7,BDL,1.4,2024
96,5560.0,"Hoodi (Rajapalya Lake) Itpl Main Road, Near Hoodi,Bengaluru","D (Propagation of wild life,fisheries)",27.0,4.8,8.5,990.0,10.0,5.6,2100.0,11000.0,,64,136.0,6.8,32,220.0,168.0,94.0,1.5(BDL),0.84,268.0,140.0,56.0,128.0,31.0,29,163.0,678.0,10(BDL),1.5,0.5(BDL),23.0,0.23,54.0,4.3,BDL,5.5,2024
97,5561.0,"Munekolalu Lake ,Marathahalli, East Taluka ,Bengaluru","D (Propagation of wild life,fisheries)",26.0,4.8,8.4,760.0,10.0,2.9,1700.0,7900.0,,32,144.0,11.2,16,176.0,120.0,99.0,1.5(BDL),0.83,164.0,88.0,35.0,76.0,18.0,21,93.0,522.0,18,0.9,0.5(BDL),19.0,0.2(BDL),52.0,3.2,BDL,1.8,2024
98,5562.0,"Mahadevpuraâ  Lake, K. R. Puram , Bangalore East Taluka","D (Propagation of wild life,fisheries)",27.0,5.6,8.5,634.0,6.0,22.0,140.0,2400.0,,32,84.0,38.6,16,116.0,104.0,56.0,1.5(BDL),0.4,100.0,56.0,22.0,44.0,11.0,10,95.0,426.0,52,0.2(BDL),0.5(BDL),20.0,0.2(BDL),62.0,4.0,BDL,0.05(BDL),2024
99,5563.0,"Segehalli Lake Baavanapura Road Battarahalli , Bangalore East","E (Irrigation, industrial cooling and controlled waste)",21.0,3.2,7.8,996.0,13.0,3.8,14000.0,46000.0,,3(BDL),228.0,42.8,5(BDL),228.0,164.0,125.0,4.7,3.8,268.0,140.0,56.0,128.0,31.0,41,99.0,690.0,50,0.57,0.5(BDL),20.0,0.33,42.0,2.6,BDL,1.66,2024
100,5564.0,"Kannamangala Lake Hoskote Main Road , Bengalore","D (Propagation of wild life,fisheries)",21.0,4.2,7.7,1950.0,8.0,7.8,3400.0,13000.0,,3(BDL),260.0,37.2,5(BDL),260.0,156.0,92.0,1.5(BDL),0.99,400.0,204.0,82.0,196.0,48.0,35,180.0,1326.0,48,0.57,0.5(BDL),14.0,0.2(BDL),48.0,4.0,BDL,1.45,2024
101,5565.0,Kannur Lake Near By Hennur Road Bengalore,"D (Propagation of wild life,fisheries)",27.0,5.2,7.9,1442.0,8.0,5.0,2100.0,7000.0,,3(BDL),508.0,35.2,5(BDL),508.0,176.0,80.0,1.5(BDL),0.4,120.0,64.0,26.0,56.0,14.0,6,116.0,994.0,46,0.2(BDL),0.5(BDL),53.0,0.41,46.0,5.0,BDL,0.28,2024
102,5566.0,"Basavanapura Lake Ayyappa Nagr Main Road , K. R. Puram , B'lore","D (Propagation of wild life,fisheries)",22.0,4.7,7.9,541.0,9.0,1.77,2200.0,24000.0,,3(BDL),100.0,16.5,5(BDL),100.0,64.0,80.0,1.5(BDL),0.72,68.0,40.0,16.0,28.0,7.0,27,32.0,368.0,20,0.2(BDL),0.5(BDL),2.0,0.28,49.0,2.0,BDL,0.31,2024
103,5567.0,"Doddakallasandra Lake,Bengaluru","E (Irrigation, industrial cooling and controlled waste)",26.0,3.2,7.1,879.0,15.0,3.2,2700.0,11000.0,,3(BDL),112.0,185.0,5(BDL),112.0,148.0,149.0,3.89,2.99,188.0,100.0,40.0,88.0,21.0,14,86.0,600.0,240,0.2(BDL),0.5(BDL),11.0,0.34,48.0,2.7,BDL,0.05(BDL),2024
104,5568.0,"Ulsoor Lake Near Kalyani,Bengaluru","D (Propagation of wild life,fisheries)",29.0,4.5,6.9,730.0,8.0,2.5,3300.0,11000.0,,3(BDL),136.0,13.2,5(BDL),136.0,92.0,72.0,1.5(BDL),0.4,116.0,64.0,26.0,52.0,13.0,30,81.0,492.0,18,0.48,0.5(BDL),20.0,0.28,55.0,3.0,BDL,1.2,2024
105,5569.0,"Byrasandra Upper Lake,Bengaluru","D (Propagation of wild life,fisheries)",29.0,4.4,7.0,723.0,8.0,2.5,1400.0,4600.0,,3(BDL),128.0,8.2,5(BDL),128.0,92.0,92.0,1.5(BDL),0.4,120.0,72.0,29.0,48.0,12.0,28,84.0,486.0,10(BDL),0.44,0.5(BDL),20.0,0.28,55.0,3.0,BDL,1,2024
106,5570.0,"Soulkere, Kaikondrahalli Vill,Bengaluru","E (Irrigation, industrial cooling and controlled waste)",27.0,3.4,7.9,2084.0,9.0,7.0,2700.0,11000.0,,3(BDL),560.0,92.0,5(BDL),560.0,316.0,92.0,1.5(BDL),0.87,300.0,156.0,62.0,144.0,35.0,84,286.0,1436.0,120,1.28,0.5(BDL),41.0,0.28,42.0,4.0,BDL,1.63,2024
107,5571.0,"Kudlu Doddakere, Kudlu Vill,Bengaluru","E (Irrigation, industrial cooling and controlled waste)",27.0,3.2,8.6,1167.0,15.0,4.0,2200.0,4900.0,,24,116.0,98.6,12,140.0,216.0,116.0,2.64,2.0,144.0,76.0,30.0,68.0,17.0,62,145.0,792.0,128,0.2(BDL),0.5(BDL),31.0,0.25,64.0,5.0,BDL,0.14,2024
108,5572.0,"Kudlu Chikkakere, Bgp Layout Kudlu Vill ,Bengaluru","D (Propagation of wild life,fisheries)",27.0,5.3,8.5,863.0,6.0,3.0,320.0,3500.0,,32,100.0,55.8,16,132.0,156.0,56.0,1.5(BDL),0.48,132.0,72.0,29.0,60.0,15.0,31,107.0,586.0,72,0.31,0.5(BDL),29.0,0.22,58.0,4.0,BDL,0.8,2024
109,5574.0,"Anjanapura Lake ( Avala Halli Lake) Anjanapura,Bengaluru","D (Propagation of wild life,fisheries)",26.0,4.3,7.49,443.0,6.0,0.81,1700.0,7000.0,,3(BDL),144.0,10.1,5(BDL),144.0,48.0,55.0,1.5(BDL),0.4,152.0,84.0,34.0,68.0,17.0,8,46.0,306.0,14,0.2(BDL),0.5(BDL),4.0,0.27,38.0,2.0,BDL,0.05(BDL),2024
Note: BDL - Below Detection Limit (Detection limits of analytes as per CPCB).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
